id,title,type,genres,averageRating,numVotes,releaseYear
tt1942683,"The Amazing World of Gumball",tvSeries,"Adventure, Animation, Comedy",8.4,44190,2011
tt1830379,"Top Boy",tvSeries,"Crime, Drama, Thriller",8.4,42243,2011
tt12361178,"Drishyam 2",movie,"Crime, Drama, Thriller",8.4,41960,2021
tt0094582,"The Wonder Years",tvSeries,"Comedy, Drama, Family",8.4,41600,1988
tt0056751,"Doctor Who",tvSeries,"Adventure, Drama, Family",8.4,40198,1963
tt0458254,"The Colbert Report",tvSeries,"Comedy, News, Talk-Show",8.4,39292,2005
tt7658402,"Harley Quinn",tvSeries,"Action, Adventure, Animation",8.4,39074,2019
tt0770802,Samsara,movie,"Documentary, Music",8.4,38571,2011
tt0094535,"Red Dwarf",tvSeries,"Comedy, Sci-Fi",8.4,37806,1988
tt0472027,"John Adams",tvMiniSeries,"Biography, Drama, History",8.4,37550,2008
tt2578560,"Broad City",tvSeries,Comedy,8.4,36576,2014
tt0112175,"Spider-Man: The Animated Series",tvSeries,"Action, Adventure, Animation",8.4,36566,1994
tt2543312,"Halt and Catch Fire",tvSeries,Drama,8.4,36106,2014
tt0105946,"Babylon 5",tvSeries,"Action, Adventure, Drama",8.4,35251,1993
tt6439752,Snowfall,tvSeries,"Crime, Drama",8.4,34995,2017
tt9477520,Asuran,movie,"Action, Drama",8.4,34632,2019
tt0478942,"Life on Mars",tvSeries,"Crime, Drama, Mystery",8.4,33335,2006
tt1883092,"Generation War",tvMiniSeries,"Action, Drama, History",8.4,33265,2013
tt4192812,Unforgotten,tvSeries,"Crime, Drama, Mystery",8.4,31961,2015
tt7078180,"Violet Evergarden",tvSeries,"Animation, Drama, Family",8.4,31925,2018
tt13433812,Vincenzo,tvSeries,"Action, Comedy, Crime",8.4,31174,2021
tt4378376,"Babylon Berlin",tvSeries,"Crime, Drama, Thriller",8.4,30980,2017
tt0826760,"The Killing",tvSeries,"Crime, Drama, Mystery",8.4,30729,2007
tt14168162,"Bosch: Legacy",tvSeries,"Crime, Drama",8.4,29780,2022
tt8594324,Ghosts,tvSeries,"Comedy, Fantasy",8.4,28308,2019
tt6905542,"The Dark Crystal: Age of Resistance",tvSeries,"Adventure, Family, Fantasy",8.4,27693,2019
tt0086659,"'Allo 'Allo!",tvSeries,"Comedy, History, War",8.4,27518,1982
tt6205862,"Inside Look: The People v. O.J. Simpson - American Crime Story",tvSeries,"Documentary, Short",8.4,27421,2016
tt0074028,"The Muppet Show",tvSeries,"Comedy, Family, Musical",8.4,26686,1976
tt0163503,"Top Gear",tvSeries,Documentary,8.4,25241,1978
tt0416394,"The Mighty Boosh",tvSeries,"Comedy, Fantasy, Musical",8.4,24471,2003
tt3674140,"The Salt of the Earth",movie,"Biography, Documentary, History",8.4,23988,2014
tt0416960,"The Lizard",movie,"Comedy, Drama",8.4,23000,2004
tt0235923,"Invader ZIM",tvSeries,"Action, Adventure, Animation",8.4,22971,2001
tt0098878,"Northern Exposure",tvSeries,"Comedy, Drama",8.4,22699,1990
tt0108872,"My So-Called Life",tvSeries,"Comedy, Drama, Romance",8.4,22352,1994
tt0400234,"Black Friday",movie,"Action, Crime, Drama",8.4,22348,2004
tt4987556,"Thani Oruvan",movie,"Action, Crime, Thriller",8.4,22133,2015
tt0083466,"Police Squad!",tvSeries,"Comedy, Crime",8.4,21313,1982
tt0408381,"Doc Martin",tvSeries,"Comedy, Drama, Romance",8.4,20935,2004
tt5959980,"Vada Chennai",movie,"Action, Crime, Drama",8.4,20560,2018
tt0976192,"The Spectacular Spider-Man",tvSeries,"Action, Adventure, Animation",8.4,20268,2008
tt0118266,"The New Batman Adventures",tvSeries,"Action, Adventure, Animation",8.4,19843,1997
tt1734135,"Trollhunters: Tales of Arcadia",tvSeries,"Action, Adventure, Animation",8.4,19639,2016
tt0075572,Roots,tvMiniSeries,"Biography, Drama, History",8.4,19221,1977
tt2407574,"My Mad Fat Diary",tvSeries,"Comedy, Drama, Romance",8.4,19214,2013
tt0066626,"All in the Family",tvSeries,"Comedy, Drama",8.4,19208,1971
tt8681148,"This Is Going to Hurt",tvMiniSeries,"Biography, Comedy, Drama",8.4,19170,2022
tt0047445,"Sansho the Bailiff",movie,Drama,8.4,18659,1954
tt0053479,"The Andy Griffith Show",tvSeries,"Comedy, Family",8.4,17571,1960
tt1553644,"The Ricky Gervais Show",tvSeries,"Animation, Comedy, Talk-Show",8.4,17281,2010
tt0052572,"The World of Apu",movie,Drama,8.4,17208,1959
tt7465992,Mahanati,movie,"Biography, Drama",8.4,15266,2018
tt0059550,"Operation 'Y' & Other Shurik's Adventures",movie,"Comedy, Crime, Drama",8.4,15218,1965
tt9174582,Brassic,tvSeries,"Comedy, Drama",8.4,14746,2019
tt0073000,"The Pinchcliffe Grand Prix",movie,"Animation, Comedy, Family",8.4,14514,1975
tt0314067,Philanthropy,movie,"Comedy, Drama",8.4,14021,2002
tt0252591,"King of the Doormen",movie,Comedy,8.4,13941,1976
tt17921714,"A Small Light",tvMiniSeries,"Biography, Drama, History",8.4,13879,2023
tt0924651,"The Graham Norton Show",tvSeries,"Comedy, Music, Talk-Show",8.4,13479,2007
tt0098833,"Jeeves and Wooster",tvSeries,Comedy,8.4,13321,1990
tt13409432,"Ranking of Kings",tvSeries,"Action, Adventure, Animation",8.4,13015,2021
tt10183988,"Julie and the Phantoms",tvSeries,"Adventure, Comedy, Drama",8.4,12654,2020
tt0184135,"The League of Gentlemen",tvSeries,"Comedy, Horror",8.4,12520,1999
tt4991384,Visaaranai,movie,"Crime, Drama, Thriller",8.4,12504,2015
tt0054533,"The Dick Van Dyke Show",tvSeries,"Comedy, Family",8.4,12207,1961
